ts,700FIC028_Y,700II781C_Y,700II782C_Y,700II783C_Y,700LI770B_Y,CUEI501_Y,CUFI008_Y,CUII503_Y,CULC501_Y,CULC508_Y,SOFC002_Y,SOFC007_Y,SORF001_Y,SWFC004_Y,SWRF001_Y,CUEI502_Y,CUEI503_Y,SWFC001_Y
2016-07-14 19:25,31.94203,13.92308,14.70268,14.74048,56.74726,18.44961,5.874641,106.5833,34.05835,49.88165,27.8891,3.205071,114.9638,0.7516819,80.94441,18.00017,18.50119,9.358233
2016-07-14 19:26,31.96714,11.15523,11.0816,11.13696,56.74262,18.33494,5.89592,102.8935,34.0369,49.92037,27.80559,3.195421,114.967,0.7525038,78.6909,17.98203,18.18677,9.384319
2016-07-14 19:27,32.23951,10.00006,10.07883,10.12335,56.73615,18.01223,5.887495,103.6597,34.08637,49.8703,27.44786,3.196149,116.1731,0.7562692,79.37892,17.57748,18.16157,9.40663
2016-07-14 19:28,31.89422,15.09628,15.89521,16.05108,56.73706,18.57171,5.902223,104.446,34.16649,49.84077,27.53395,3.191055,115.5349,0.7482048,79.66915,18.20529,18.6848,9.358153
2016-07-14 19:29,32.07132,13.76272,13.83314,14.70219,56.745,17.69082,5.897767,102.6322,34.13954,49.87836,27.76827,3.193009,114.6289,0.7575119,80.32094,17.24754,18.01267,9.365232
2016-07-14 19:30,32.24693,10.19033,10.23859,10.88745,56.73891,19.10658,5.908244,107.2573,34.07076,50.01602,27.38404,3.187805,116.3526,0.7535753,80.51879,18.67562,19.19322,9.205485
2016-07-14 19:31,31.9982,10.00984,9.978377,10.00135,56.74273,17.83529,5.90374,102.9808,34.10328,49.98009,27.2079,3.172011,116.4115,0.7391161,79.19492,17.40841,17.99946,9.283498
2016-07-14 19:32,32.17167,13.22747,10.96611,11.08354,56.74715,19.15239,5.909312,108.673,34.12923,50.09632,27.4746,3.166418,115.6371,0.7367003,79.6375,18.58759,19.28928,9.348468
2016-07-14 19:33,32.04736,13.73051,13.61742,13.80635,56.73651,18.01075,5.884609,97.32455,34.25432,49.93193,27.2073,3.169632,116.5211,0.7483532,80.21549,17.64982,17.51481,9.327971
2016-07-14 19:34,32.2043,10.01059,9.972662,10.16989,56.738,18.83369,5.895915,106.4984,34.22094,49.95319,27.37567,3.170718,115.4643,0.7326472,80.1095,18.41842,18.85096,9.164117
2016-07-14 19:35,32.15417,10.33506,10.44325,10.47934,56.74456,18.55253,5.906905,101.1357,34.20511,49.91417,27.45881,3.168247,115.46,0.7240145,79.39483,18.00563,17.94712,9.152472
2016-07-14 19:36,32.05666,15.71369,16.62049,16.68308,56.74373,18.20143,5.893525,103.0201,34.2089,49.96069,27.28365,3.164193,116.2625,0.7363704,79.70274,17.84238,18.01172,9.199745
2016-07-14 19:37,32.05081,15.37631,16.08895,16.14726,56.7501,18.79178,5.922474,104.6159,34.18753,49.90163,27.2726,3.167782,116.091,0.7467196,80.15277,18.39844,18.70704,9.299541
2016-07-14 19:38,32.09731,10.00432,9.978937,10.0127,56.74719,18.12684,5.89246,99.65286,34.24632,49.97299,27.48987,3.16327,115.4193,0.7468266,80.09347,17.72966,17.64004,9.401461
2016-07-14 19:39,32.26504,10.45207,10.55239,12.24088,56.73897,18.97765,5.928368,106.2369,34.18679,49.91122,27.55327,3.166024,114.8153,0.754659,80.1098,18.62115,19.1154,9.367494
2016-07-14 19:40,32.17615,15.88953,15.77113,16.83787,56.73451,17.63193,5.879719,97.25707,34.1888,50.05515,27.38931,3.173774,115.1418,0.7499831,80.75574,17.24769,17.15173,9.392899
2016-07-14 19:41,32.13716,12.70751,12.60044,12.74778,56.73306,18.88209,5.909645,107.045,34.24299,50.08702,27.19792,3.170081,115.6487,0.7475731,80.38686,18.51834,19.08901,9.273433
2016-07-14 19:42,32.01402,10.00366,9.968537,10.00198,56.73483,17.7857,5.895765,96.06059,34.25715,50.10406,27.72814,3.178969,114.0458,0.740643,79.8523,17.43218,17.2787,9.222497
2016-07-14 19:43,32.07148,10.49974,10.59816,10.11436,56.75267,18.5977,5.918419,105.4874,34.14152,50.09924,27.49664,3.168268,114.8763,0.7402413,78.89149,18.18806,18.56059,9.214354
2016-07-14 19:44,32.08446,15.76025,15.77398,11.96751,56.75147,18.20967,5.879745,99.49688,34.13406,50.07434,27.71206,3.182667,114.3991,0.7431847,79.37007,17.88883,17.65061,9.404502
2016-07-14 19:45,32.15443,12.73825,12.53979,12.69688,56.74462,17.99454,5.911576,101.3937,34.21209,50.11177,27.59495,3.193667,115.0759,0.7503619,79.41654,17.58427,17.99798,9.503016
2016-07-14 19:46,32.2668,10.00422,9.967864,10.00127,56.73761,18.56298,5.931483,103.3087,34.15066,50.10712,27.73613,3.184414,114.7736,0.7693796,79.57458,18.18635,18.43318,9.524978
